id,name,desc,image,price,category_id,quantity
1,Amy Dress,Our best selling Amy dress; masterpiece design of a carefully draped skirt with high slit gathered bust and attention to button details,Amy.jpg,40,3,10
2,Amy Burnt Orange Dress,Our best selling Amy dress; masterpiece design of a carefully draped skirt with high slit gathered bust and attention to button details,Amy Burnt Orange.jpg,40,3,5
3,Bella Dress,Polka dot dress made with crepe,Bella.jpg,30,3,5
4,Becky Dress,Long custom snatched dress,Becky.JPG,70,4,3
5,Cleos suit,oversized suit in cream,Cleos suit.jpg,100,4,3
6,Elora Dress,Elora speaks elegance in a regal design with exaggerated sleeves made from quality cotton fabric,Elora.jpg,35,2,10
7,Euphoria Dress,minimalistic custom made bridal dress,Euphoria.jpg,200,1,2
8,Eva Dress,Gathered ruched design with good support and snatched waist made with quality cotton fabric,Eva.jpg,30,2,5
9,Havana Dress,Gathered flare dress in mini and midi length perfect for summer and all occassions,Havana.jpg,50,2,5
10,Sapphire Dress,Sapphire is the perfect sultry dress that fits into multiple occassions; carefully draped design made with premium silk fabric in distinct colours,Sapphire.jpg,60,2,8
11,Sapphire 2.0 Dress,Sapphire 2.0 is a conventional replica of the Sapphire dress with an overlapping slit to suit your style preferences and choices,Sapphire 2.0.jpg,50,2,5
12,Sia Dress,Regal medieval dress with beautiful bust-cut design,Sia.JPG,35,2,10
13,Leah Dress,Leah is the simple yet classy multifunctional dress made from premium cotton fabric with handcrafted wooden-buttons to serve the perfect vintage vibe,Leah.jpg,40,2,4
14,Tari Dress,Beautiful bridal dress with flare design,Tari.JPG,500,1,1

